shipment_id,order_id,ship_datetime,carrier,shipping_method,distance_band,promised_days,actual_days,late_delivery
61,61,2025-11-13 03:12:30,FedEx,expedited,regional,3,4,true
62,62,2025-11-08 11:53:50,FedEx,expedited,local,2,4,true
63,63,2025-11-11 14:49:20,UPS,standard,regional,6,10,true
64,64,2025-11-04 12:51:05,UPS,standard,local,5,6,true
65,65,2025-07-26 18:25:11,FedEx,standard,regional,6,7,true
66,66,2025-09-17 11:36:50,FedEx,standard,regional,6,4,false
67,67,2025-07-12 22:44:34,UPS,standard,regional,6,7,true
68,68,2025-11-04 16:13:36,USPS,standard,regional,6,9,true
69,69,2025-09-28 22:15:28,UPS,standard,local,5,4,false
70,70,2025-11-23 08:36:59,FedEx,standard,national,7,7,false
71,71,2025-11-10 20:04:08,FedEx,expedited,regional,3,5,true
72,72,2025-07-12 02:04:12,FedEx,standard,regional,6,5,false
73,73,2025-09-13 12:15:36,USPS,standard,regional,6,9,true
74,74,2025-12-20 03:54:18,UPS,standard,national,7,8,true
75,75,2025-08-16 18:56:09,USPS,standard,local,5,6,true
76,76,2025-09-03 11:00:03,FedEx,standard,regional,6,8,true
77,77,2025-11-10 08:11:35,FedEx,standard,regional,6,8,true
78,78,2025-07-16 05:05:47,UPS,standard,regional,6,7,true
79,79,2025-09-24 17:19:45,USPS,standard,regional,6,8,true
80,80,2025-11-01 14:38:12,UPS,standard,regional,6,5,false
81,81,2025-08-20 08:52:46,USPS,standard,local,5,7,true
82,82,2025-09-02 03:29:47,UPS,expedited,local,2,3,true
83,83,2025-11-28 01:14:03,UPS,standard,local,5,7,true
84,84,2025-12-25 00:59:25,UPS,standard,regional,6,10,true
85,85,2025-09-01 00:30:32,FedEx,standard,regional,6,5,false
86,86,2025-12-07 19:24:34,UPS,standard,local,5,4,false
87,87,2025-08-15 18:23:11,USPS,expedited,national,4,3,false
88,88,2025-07-23 18:30:36,FedEx,expedited,regional,3,5,true
89,89,2025-08-02 01:04:04,FedEx,standard,regional,6,6,false
90,90,2025-08-22 07:56:37,UPS,expedited,regional,3,2,false
91,91,2025-11-10 10:47:35,UPS,overnight,national,3,5,true
92,92,2025-11-02 08:53:32,UPS,overnight,local,1,2,true
93,93,2025-07-30 13:37:35,USPS,standard,national,7,7,false
94,94,2025-11-28 21:21:29,UPS,standard,local,5,6,true
95,95,2025-12-27 09:24:54,UPS,standard,regional,6,7,true
96,96,2025-10-02 05:41:45,FedEx,standard,local,5,3,false
97,97,2025-07-21 00:31:35,UPS,standard,national,7,8,true
98,98,2025-08-27 20:47:11,UPS,standard,regional,6,6,false
99,99,2025-09-07 05:00:45,FedEx,standard,national,7,9,true
100,100,2025-12-03 19:10:27,UPS,standard,national,7,12,true
101,101,2025-09-12 21:46:23,FedEx,standard,regional,6,6,false
102,102,2025-09-07 08:53:13,FedEx,standard,national,7,7,false
103,103,2025-09-24 22:29:11,FedEx,standard,regional,6,6,false
104,104,2025-09-19 10:33:12,USPS,standard,regional,6,8,true
105,105,2025-10-09 21:13:58,FedEx,standard,regional,6,6,false
106,106,2025-09-22 03:21:03,UPS,expedited,national,4,7,true
107,107,2025-09-11 02:59:23,USPS,expedited,local,2,3,true
108,108,2025-08-18 04:44:22,UPS,standard,regional,6,5,false
109,109,2025-12-26 01:26:54,FedEx,expedited,local,2,5,true
110,110,2025-09-12 07:49:32,UPS,expedited,local,2,2,false
111,111,2025-10-31 00:32:40,UPS,standard,regional,6,7,true
112,112,2025-09-14 23:23:05,UPS,standard,national,7,6,false
113,113,2025-12-07 22:55:36,FedEx,standard,regional,6,7,true
114,114,2025-09-16 05:05:01,USPS,standard,local,5,6,true
115,115,2025-07-25 10:39:50,FedEx,standard,regional,6,6,false
116,116,2025-09-19 09:39:44,UPS,overnight,regional,2,2,false
117,117,2025-07-17 17:46:59,UPS,standard,regional,6,4,false
118,118,2025-10-04 02:54:35,UPS,expedited,regional,3,4,true
119,119,2025-12-14 07:22:08,FedEx,standard,local,5,8,true
120,120,2025-09-13 10:38:33,USPS,standard,local,5,6,true
121,121,2025-10-31 03:37:16,UPS,standard,local,5,7,true
122,122,2025-07-19 06:09:17,UPS,expedited,local,2,3,true
123,123,2025-10-04 07:56:41,USPS,standard,regional,6,7,true
124,124,2026-01-03 22:15:44,UPS,standard,regional,6,7,true
125,125,2025-10-23 09:23:52,UPS,standard,local,5,5,false
126,126,2025-07-26 08:00:37,UPS,standard,local,5,4,false
127,127,2025-09-30 12:44:06,FedEx,standard,national,7,8,true
128,128,2026-01-02 11:47:11,UPS,expedited,regional,3,5,true
129,129,2025-09-05 06:49:19,FedEx,standard,local,5,4,false
130,130,2025-12-21 14:15:27,USPS,expedited,local,2,3,true
131,131,2025-09-03 14:50:59,FedEx,expedited,local,2,2,false
132,132,2025-09-03 10:05:08,UPS,standard,regional,6,6,false
133,133,2025-12-13 03:52:00,USPS,standard,local,5,7,true
134,134,2025-11-01 17:11:09,UPS,standard,local,5,6,true
135,135,2025-11-21 02:51:16,FedEx,standard,local,5,6,true
136,136,2025-09-30 00:04:39,UPS,standard,local,5,8,true
137,137,2025-08-31 05:14:36,UPS,expedited,national,4,4,false
138,138,2025-10-22 21:37:47,USPS,standard,national,7,9,true
139,139,2025-12-24 17:13:35,FedEx,standard,local,5,7,true
140,140,2025-11-14 01:26:06,UPS,standard,regional,6,6,false
141,141,2025-09-07 20:46:02,UPS,expedited,regional,3,3,false
142,142,2025-11-26 18:48:21,UPS,standard,local,5,7,true
143,143,2025-10-20 00:52:29,FedEx,expedited,regional,3,1,false
144,144,2025-09-11 10:30:04,FedEx,standard,local,5,5,false
145,145,2025-12-27 00:57:09,FedEx,expedited,regional,3,4,true
146,146,2025-11-19 19:04:13,FedEx,standard,national,7,11,true
147,147,2025-09-08 23:54:35,UPS,standard,regional,6,5,false
148,148,2025-10-27 23:36:02,FedEx,expedited,local,2,3,true
149,149,2025-08-19 17:04:03,USPS,standard,regional,6,6,false
150,150,2025-08-26 15:42:38,FedEx,standard,regional,6,7,true
151,151,2025-11-13 09:35:50,UPS,standard,local,5,9,true
152,152,2025-11-06 00:24:05,FedEx,expedited,regional,3,5,true
153,153,2025-12-13 14:31:39,UPS,standard,regional,6,8,true
154,154,2025-09-12 20:57:32,UPS,standard,local,5,8,true
155,155,2025-11-21 11:16:48,FedEx,standard,local,5,7,true
156,156,2025-10-07 16:00:36,FedEx,standard,regional,6,6,false
157,157,2025-09-01 11:57:54,UPS,standard,regional,6,8,true
158,158,2025-08-19 21:24:02,FedEx,standard,national,7,7,false
159,159,2025-11-23 13:52:05,FedEx,standard,regional,6,6,false
160,160,2025-08-28 03:42:41,UPS,expedited,national,4,5,true
161,161,2025-08-04 14:57:46,UPS,standard,local,5,5,false
162,162,2025-08-09 17:57:45,UPS,standard,national,7,7,false
163,163,2025-12-08 05:16:57,FedEx,standard,regional,6,11,true
164,164,2025-08-16 07:38:02,FedEx,expedited,local,2,5,true
165,165,2025-12-13 23:26:36,UPS,standard,regional,6,8,true
166,166,2025-10-16 14:24:15,FedEx,standard,local,5,6,true
167,167,2025-12-14 21:42:50,UPS,standard,regional,6,8,true
168,168,2025-09-18 12:30:27,UPS,standard,national,7,7,false
169,169,2025-10-28 11:40:41,UPS,expedited,regional,3,3,false
170,170,2025-12-20 00:38:48,FedEx,expedited,national,4,7,true
171,171,2025-08-31 17:24:21,UPS,expedited,regional,3,2,false
172,172,2025-09-15 06:53:38,UPS,standard,regional,6,6,false
173,173,2025-07-26 04:51:52,FedEx,standard,local,5,6,true
174,174,2025-07-29 22:35:11,FedEx,standard,regional,6,6,false
175,175,2025-10-22 08:49:50,UPS,standard,regional,6,7,true
176,176,2025-08-06 16:25:13,USPS,standard,local,5,5,false
177,177,2025-10-25 14:24:05,UPS,standard,regional,6,6,false
178,178,2025-12-12 11:46:06,FedEx,expedited,regional,3,5,true
179,179,2025-07-23 19:33:19,FedEx,expedited,regional,3,3,false
180,180,2025-12-22 00:15:42,UPS,standard,local,5,6,true
181,181,2025-11-21 18:30:18,USPS,standard,local,5,6,true
182,182,2025-11-17 22:20:02,FedEx,standard,regional,6,7,true
183,183,2025-09-15 12:46:44,UPS,standard,regional,6,7,true
184,184,2025-10-15 19:09:31,UPS,overnight,regional,2,2,false
185,185,2025-10-28 03:39:04,FedEx,overnight,regional,2,3,true
186,186,2025-10-20 11:55:23,FedEx,standard,regional,6,7,true
187,187,2025-08-17 19:33:39,FedEx,expedited,regional,3,4,true
188,188,2025-10-14 18:20:02,FedEx,standard,local,5,5,false
189,189,2025-10-09 16:20:46,FedEx,standard,regional,6,5,false
190,190,2025-10-29 13:43:11,UPS,standard,local,5,4,false
191,191,2025-12-18 15:07:32,UPS,standard,regional,6,7,true
192,192,2025-10-26 05:24:50,FedEx,standard,national,7,8,true
193,193,2025-12-08 23:24:49,FedEx,expedited,national,4,6,true
194,194,2025-10-27 10:58:30,UPS,standard,local,5,5,false
195,195,2025-10-07 07:07:43,UPS,standard,regional,6,7,true
196,196,2025-10-28 20:02:55,USPS,standard,regional,6,6,false
197,197,2025-11-06 05:34:49,USPS,expedited,regional,3,4,true
198,198,2025-07-13 12:34:33,UPS,standard,regional,6,8,true
199,199,2025-12-09 03:11:22,UPS,standard,national,7,9,true
200,200,2025-07-15 15:06:42,UPS,standard,national,7,7,false
201,201,2025-12-02 13:24:06,UPS,standard,national,7,8,true
202,202,2025-11-13 19:51:48,FedEx,standard,local,5,8,true
203,203,2025-09-20 18:53:38,UPS,standard,regional,6,7,true
204,204,2025-07-16 09:20:44,UPS,expedited,regional,3,3,false
205,205,2025-12-23 05:31:52,UPS,standard,regional,6,8,true
206,206,2025-12-01 04:07:19,UPS,expedited,regional,3,4,true
207,207,2025-12-03 04:15:42,UPS,standard,regional,6,8,true
208,208,2025-08-21 01:50:13,USPS,standard,local,5,5,false
209,209,2025-10-07 23:25:19,UPS,standard,regional,6,5,false
210,210,2025-10-20 20:30:57,FedEx,standard,local,5,4,false
211,211,2025-12-23 20:34:23,UPS,standard,regional,6,9,true
212,212,2025-12-05 22:53:20,UPS,standard,regional,6,9,true
213,213,2025-12-05 16:12:32,USPS,expedited,local,2,5,true
214,214,2025-10-01 14:30:53,USPS,overnight,regional,2,2,false
215,215,2025-09-30 22:46:17,FedEx,expedited,regional,3,4,true
216,216,2025-10-27 06:32:34,UPS,expedited,national,4,5,true
217,217,2025-09-18 22:36:55,UPS,standard,regional,6,6,false
218,218,2025-11-17 12:42:44,UPS,standard,regional,6,6,false
219,219,2025-10-07 19:00:57,UPS,standard,national,7,9,true
220,220,2025-09-09 22:57:39,FedEx,standard,regional,6,7,true
221,221,2025-08-14 11:44:22,UPS,overnight,regional,2,5,true
222,222,2025-12-18 08:41:29,USPS,standard,regional,6,9,true
223,223,2025-09-29 02:27:29,UPS,standard,regional,6,8,true
224,224,2025-12-24 22:15:37,USPS,expedited,regional,3,6,true
225,225,2025-10-14 08:26:06,USPS,standard,local,5,5,false
226,226,2025-11-25 11:18:05,FedEx,standard,national,7,10,true
227,227,2025-11-26 02:19:05,FedEx,expedited,regional,3,4,true
228,228,2025-10-29 10:40:30,UPS,standard,national,7,8,true
229,229,2025-09-14 16:50:18,UPS,standard,regional,6,8,true
230,230,2025-12-24 02:31:45,FedEx,standard,national,7,8,true
231,231,2025-10-17 03:57:03,UPS,standard,local,5,5,false
232,232,2025-10-06 04:31:47,FedEx,standard,local,5,5,false
233,233,2026-01-04 21:20:32,UPS,standard,local,5,6,true
234,234,2025-09-22 09:53:13,FedEx,standard,national,7,7,false
235,235,2025-08-12 16:32:17,UPS,expedited,regional,3,2,false
236,236,2025-10-07 12:29:29,USPS,expedited,national,4,3,false
237,237,2026-01-04 14:52:39,UPS,standard,national,7,8,true
238,238,2025-11-04 08:26:04,USPS,standard,local,5,8,true
239,239,2025-09-03 06:55:24,FedEx,standard,local,5,8,true
240,240,2025-12-05 07:19:41,UPS,standard,national,7,9,true
241,241,2025-09-17 03:17:32,FedEx,standard,local,5,6,true
242,242,2025-10-22 22:31:26,FedEx,standard,local,5,5,false
243,243,2025-07-25 02:08:19,UPS,standard,national,7,9,true
244,244,2025-12-01 20:18:13,UPS,standard,regional,6,8,true
245,245,2025-08-19 04:15:41,USPS,standard,regional,6,7,true
246,246,2025-11-15 04:49:35,UPS,standard,local,5,10,true
247,247,2025-12-05 18:41:44,USPS,standard,local,5,8,true
248,248,2025-08-19 06:42:33,UPS,expedited,local,2,3,true
249,249,2025-08-10 11:16:04,FedEx,standard,regional,6,6,false
250,250,2025-10-03 14:32:27,FedEx,expedited,local,2,1,false
251,251,2025-09-17 19:42:17,USPS,standard,local,5,5,false
252,252,2025-10-02 13:19:10,FedEx,standard,regional,6,7,true
253,253,2025-11-22 03:12:45,USPS,standard,national,7,10,true
254,254,2025-12-15 10:01:13,FedEx,standard,local,5,5,false
255,255,2025-11-09 19:18:52,UPS,standard,regional,6,6,false
256,256,2025-10-10 19:09:14,UPS,standard,national,7,9,true
257,257,2025-08-11 05:34:35,UPS,standard,regional,6,6,false
258,258,2026-01-01 23:29:03,FedEx,standard,local,5,7,true
259,259,2025-12-02 02:29:46,FedEx,standard,national,7,7,false
260,260,2025-10-06 14:55:21,UPS,standard,local,5,6,true
261,261,2025-10-10 18:39:01,UPS,standard,regional,6,9,true
262,262,2025-12-14 01:46:40,UPS,standard,regional,6,8,true
263,263,2025-07-22 15:48:41,FedEx,standard,national,7,7,false
264,264,2025-12-15 09:58:57,FedEx,standard,national,7,9,true
265,265,2025-07-23 01:31:22,FedEx,standard,regional,6,7,true
266,266,2025-09-06 04:18:53,USPS,expedited,local,2,2,false
267,267,2025-10-26 14:20:50,USPS,standard,regional,6,6,false
268,268,2025-10-25 05:24:21,UPS,standard,regional,6,9,true
269,269,2025-07-27 15:43:25,FedEx,standard,national,7,7,false
270,270,2025-07-21 01:13:00,UPS,standard,local,5,5,false
271,271,2025-10-25 14:57:30,FedEx,standard,local,5,6,true
272,272,2025-08-02 16:59:21,FedEx,expedited,local,2,4,true
273,273,2025-09-18 06:43:20,FedEx,standard,regional,6,5,false
274,274,2026-01-05 17:57:18,UPS,standard,local,5,8,true
275,275,2025-09-21 21:10:41,USPS,standard,national,7,8,true
276,276,2025-12-27 19:04:44,UPS,standard,local,5,8,true
277,277,2025-11-14 09:39:08,UPS,standard,national,7,8,true
278,278,2025-09-04 08:53:39,FedEx,standard,regional,6,6,false
279,279,2025-10-02 03:32:54,FedEx,standard,national,7,6,false
280,280,2025-12-17 18:56:26,UPS,standard,local,5,5,false
281,281,2025-10-13 00:22:18,UPS,standard,local,5,6,true
282,282,2025-10-14 02:26:26,UPS,standard,regional,6,5,false
283,283,2025-07-24 04:58:20,UPS,standard,local,5,4,false
284,284,2025-12-07 03:05:49,UPS,standard,regional,6,8,true
285,285,2025-08-25 18:32:01,FedEx,expedited,regional,3,2,false
286,286,2025-08-28 22:38:43,FedEx,standard,local,5,6,true
287,287,2025-12-07 10:50:19,UPS,standard,local,5,8,true
288,288,2025-10-04 02:18:32,USPS,standard,regional,6,8,true
289,289,2025-09-25 16:56:49,UPS,standard,local,5,7,true
290,290,2025-09-21 09:36:51,UPS,standard,regional,6,7,true
291,291,2025-12-24 04:25:34,FedEx,overnight,national,3,3,false
292,292,2025-09-27 02:32:57,UPS,standard,national,7,8,true
293,293,2025-08-26 15:21:23,UPS,expedited,local,2,3,true
294,294,2025-12-04 16:27:00,FedEx,standard,local,5,6,true
295,295,2026-01-03 03:34:06,FedEx,expedited,regional,3,5,true
296,296,2025-10-31 00:46:29,UPS,expedited,local,2,2,false
297,297,2025-09-21 00:32:02,UPS,standard,local,5,8,true
298,298,2025-07-18 15:51:46,FedEx,standard,regional,6,7,true
299,299,2025-12-20 15:53:26,USPS,standard,local,5,7,true
300,300,2025-10-08 10:05:01,FedEx,standard,regional,6,7,true
301,301,2025-12-06 04:02:47,FedEx,standard,regional,6,7,true
302,302,2025-09-17 11:57:51,UPS,standard,regional,6,8,true
303,303,2025-07-27 13:32:44,USPS,standard,regional,6,6,false
304,304,2025-07-27 22:08:05,FedEx,expedited,local,2,1,false
305,305,2025-11-08 18:26:22,FedEx,standard,regional,6,7,true
306,306,2025-08-16 00:12:36,UPS,standard,local,5,5,false
307,307,2025-10-30 06:01:48,FedEx,standard,regional,6,5,false
308,308,2025-12-30 08:42:07,UPS,standard,national,7,9,true
309,309,2025-09-21 20:39:17,FedEx,standard,regional,6,7,true
310,310,2025-07-19 21:55:07,USPS,expedited,national,4,6,true
311,311,2025-09-16 12:18:53,FedEx,standard,local,5,6,true
312,312,2025-12-29 03:11:24,UPS,expedited,local,2,4,true
313,313,2025-07-12 13:05:11,UPS,standard,regional,6,6,false
314,314,2026-01-06 17:36:34,FedEx,standard,national,7,7,false
315,315,2025-11-19 22:46:51,UPS,overnight,local,1,3,true
316,316,2025-10-08 07:38:39,UPS,standard,national,7,9,true
317,317,2025-09-29 15:02:47,UPS,standard,local,5,5,false
318,318,2025-10-01 21:46:52,FedEx,standard,national,7,6,false
319,319,2025-11-17 11:41:02,UPS,expedited,national,4,6,true
320,320,2025-07-24 18:41:46,FedEx,standard,national,7,8,true
321,321,2025-12-14 07:21:40,UPS,expedited,regional,3,4,true
322,322,2025-10-31 11:13:23,UPS,standard,national,7,8,true
323,323,2025-11-15 21:39:55,UPS,standard,local,5,7,true
324,324,2025-09-03 01:33:35,FedEx,standard,regional,6,7,true
325,325,2025-09-01 22:58:43,FedEx,standard,national,7,11,true
326,326,2025-10-07 18:53:42,USPS,standard,local,5,6,true
327,327,2025-10-01 21:37:23,FedEx,standard,local,5,7,true
328,328,2025-10-11 07:57:30,FedEx,standard,local,5,5,false
329,329,2025-12-27 06:08:00,FedEx,expedited,local,2,4,true
330,330,2025-08-13 06:42:16,UPS,expedited,regional,3,5,true
331,331,2025-12-14 11:48:07,UPS,standard,regional,6,12,true
332,332,2025-11-13 00:52:02,FedEx,standard,regional,6,7,true
333,333,2025-11-09 10:05:23,USPS,expedited,national,4,7,true
334,334,2025-09-08 04:48:23,UPS,standard,local,5,5,false
335,335,2025-10-31 02:00:28,UPS,expedited,local,2,3,true
336,336,2025-11-02 08:19:27,FedEx,standard,national,7,10,true
337,337,2025-08-25 20:31:17,UPS,standard,local,5,6,true
338,338,2025-08-31 16:56:14,UPS,standard,local,5,5,false
339,339,2025-12-02 12:01:15,FedEx,standard,regional,6,7,true
340,340,2025-09-21 07:36:45,UPS,overnight,local,1,1,false
341,341,2025-10-03 01:55:16,FedEx,standard,regional,6,5,false
342,342,2025-08-18 01:00:05,UPS,standard,local,5,6,true
343,343,2025-09-01 22:21:50,FedEx,standard,regional,6,6,false
344,344,2025-07-11 08:20:13,UPS,standard,regional,6,7,true
345,345,2025-07-29 12:26:21,USPS,standard,local,5,6,true
346,346,2025-10-22 19:49:06,UPS,standard,local,5,4,false
347,347,2025-12-30 18:47:17,UPS,standard,regional,6,8,true
348,348,2026-01-06 02:33:34,USPS,standard,local,5,9,true
349,349,2025-10-08 08:22:05,UPS,standard,regional,6,5,false
350,350,2025-07-31 17:23:17,USPS,standard,national,7,7,false
351,351,2025-12-29 05:29:46,FedEx,expedited,regional,3,5,true
352,352,2025-12-31 20:48:15,USPS,expedited,regional,3,8,true
353,353,2025-08-26 02:04:29,FedEx,standard,regional,6,9,true
354,354,2025-11-19 13:53:50,FedEx,standard,local,5,5,false
355,355,2025-10-11 07:13:27,FedEx,standard,regional,6,5,false
356,356,2025-08-09 09:22:07,UPS,standard,regional,6,6,false
357,357,2025-08-08 10:29:07,UPS,expedited,regional,3,3,false
358,358,2025-08-26 03:55:32,UPS,standard,local,5,5,false
359,359,2025-12-13 12:11:21,USPS,standard,regional,6,8,true
360,360,2025-11-26 15:35:44,FedEx,standard,regional,6,6,false
361,361,2025-07-14 09:08:25,UPS,standard,local,5,6,true
362,362,2025-11-28 04:18:35,UPS,standard,regional,6,7,true
363,363,2025-10-16 19:06:23,UPS,standard,national,7,8,true
364,364,2025-08-17 00:15:58,UPS,standard,local,5,6,true
365,365,2025-08-26 22:13:05,FedEx,expedited,local,2,2,false
366,366,2025-12-24 10:57:40,USPS,standard,local,5,7,true
367,367,2025-09-12 18:29:26,UPS,expedited,regional,3,2,false
368,368,2025-09-09 07:03:16,UPS,standard,local,5,6,true
369,369,2025-08-17 23:01:23,USPS,standard,regional,6,7,true
370,370,2025-10-21 23:03:29,UPS,standard,national,7,7,false
371,371,2025-08-16 11:47:12,UPS,expedited,regional,3,3,false
372,372,2025-10-13 09:41:27,FedEx,standard,regional,6,6,false
373,373,2025-08-05 22:44:30,UPS,standard,local,5,8,true
374,374,2025-10-31 04:08:04,FedEx,expedited,national,4,5,true
375,375,2025-12-29 19:22:24,UPS,expedited,national,4,6,true
376,376,2025-12-08 16:18:08,USPS,standard,local,5,6,true
377,377,2025-08-13 07:07:43,FedEx,standard,regional,6,7,true
378,378,2025-12-18 02:27:03,UPS,standard,regional,6,8,true
379,379,2025-07-13 11:13:15,UPS,expedited,regional,3,3,false
380,380,2025-12-21 22:48:46,FedEx,standard,regional,6,9,true
381,381,2025-07-26 15:06:46,FedEx,standard,local,5,5,false
382,382,2025-12-07 08:07:05,UPS,standard,national,7,8,true
383,383,2025-11-28 06:07:54,UPS,expedited,national,4,6,true
384,384,2025-08-17 17:25:18,UPS,standard,national,7,6,false
385,385,2025-11-19 05:29:21,UPS,standard,regional,6,8,true
386,386,2025-08-30 12:44:49,UPS,standard,regional,6,5,false
387,387,2026-01-02 22:25:58,UPS,standard,regional,6,9,true
388,388,2025-09-14 23:47:01,UPS,standard,local,5,5,false
389,389,2025-12-01 05:37:03,USPS,standard,national,7,10,true
390,390,2025-10-23 19:06:09,USPS,standard,regional,6,7,true
391,391,2025-10-29 02:22:20,FedEx,standard,local,5,4,false
392,392,2025-12-09 13:18:00,FedEx,standard,regional,6,7,true
393,393,2025-10-17 11:06:08,UPS,expedited,national,4,5,true
394,394,2025-09-24 17:28:18,UPS,standard,regional,6,8,true
395,395,2025-10-16 16:51:08,UPS,standard,regional,6,6,false
396,396,2025-12-28 21:48:05,UPS,standard,regional,6,7,true
397,397,2025-08-14 21:24:02,USPS,standard,regional,6,8,true
398,398,2025-07-26 13:37:22,FedEx,standard,local,5,6,true
399,399,2025-07-31 17:36:18,UPS,standard,regional,6,7,true
400,400,2025-12-17 09:16:38,UPS,standard,national,7,9,true
401,401,2025-09-25 12:16:27,FedEx,standard,national,7,6,false
402,402,2025-10-04 22:19:19,FedEx,expedited,regional,3,3,false
403,403,2025-11-23 01:35:25,FedEx,standard,regional,6,8,true
404,404,2025-09-29 16:42:56,FedEx,overnight,regional,2,1,false
405,405,2025-09-18 23:38:17,UPS,standard,national,7,7,false
406,406,2025-07-24 16:39:31,UPS,standard,local,5,5,false
407,407,2025-09-03 22:51:18,UPS,standard,national,7,9,true
408,408,2025-09-04 11:24:03,USPS,expedited,regional,3,3,false
409,409,2025-11-08 21:59:41,FedEx,standard,national,7,7,false
410,410,2025-10-27 08:55:48,FedEx,standard,regional,6,6,false
411,411,2025-11-26 19:05:51,USPS,standard,local,5,7,true
412,412,2025-12-01 10:54:46,UPS,standard,regional,6,9,true
413,413,2025-08-31 00:54:16,USPS,standard,regional,6,6,false
414,414,2025-12-31 14:34:35,USPS,standard,local,5,6,true
415,415,2025-08-26 12:12:59,FedEx,standard,regional,6,7,true
416,416,2025-11-21 13:43:52,FedEx,standard,local,5,6,true
417,417,2025-09-15 15:14:25,USPS,standard,regional,6,6,false
418,418,2025-10-10 23:07:24,UPS,standard,national,7,7,false
419,419,2025-09-25 08:36:03,USPS,standard,local,5,8,true
420,420,2025-11-27 23:02:56,FedEx,standard,national,7,8,true
